Timestamp,Crop,Crop Type,Fertility Class,Nutrient,Nutrient Rates (N) per ha,Fertilizer Rate (Urea) per ha,Fertilizer Rate (CAN) per ha,Nutrient Rates (P2O5) per ha,Fertilizer Rate (SSP) per ha,Nutrient Rates (K2O) per ha,Fertilizer Rate (MOP) per ha,Zone,Fertilizer Application -Time and Method,Fertilizer Rate (NPK) per ha,Fertilizer Rate (TSP) per ha,Rice,Cotton,Nutrient Rates (Bo) per ha,Fertilizer Rate per ha,Fertilizer Rate (NPK + others) per ha,Type [Rice]
6/8/2018 14:34:41,Maize,All,Low,Nitrogen,120kg,5 bags (260kg),9 bags (462kg),,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah","Apply half of the Nitrogen (Urea) at planting or 2 -3 weeks after planting (WAP) and the remainder, at about 5 - 6 WAP. Basal Nitrogen should be dibbled along a 5cm deep groove about 8cm away from the row of plants and covered with sod.",20-10-10 (600kg or 12 bags),,,,,,,
6/8/2018 14:39:02,Maize,All,Low,Nitrogen,100kg,5 bags (260kg),9 bags (462kg),,,,,Southern Guinea Savannah,"Apply half of the Nitrogen (Urea) at planting or 2 -3 weeks after planting (WAP) and the remainder, at about 5 - 6 WAP. Basal Nitrogen should be dibbled along a 5cm deep groove about 8cm away from the row of plants and covered with soil.",20-10-10 (600kg or 12 bags),,,,,,,
6/8/2018 14:49:32,Maize,All,Low,Nitrogen,70kg,3 bags (150kg),5 bags (250kg),,,,,Forest,"Apply all the Nitrogen, Phosphorus and Potassium at planting or at 2 - 3 weeks after planting (WAP). However, under continuous cropping, split-apply the Nitrogen at planting and 5-6 WAP.",20-10-10 (350kg or 7 bags),,,,,,,
6/8/2018 14:58:00,Maize,All,Medium,Nitrogen,60kg,2.5 bags (133kg),4.5 bags (231kg),,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah","Apply half of the Nitrogen (Urea) at planting or 2 -3 weeks after planting (WAP) and the remainder, at about 5 - 6 WAP. Basal Nitrogen should be dibbled along a 5cm deep groove about 8cm away from the row of plants and covered with sod.",20-10-10 (300kg or 6 bags),,,,,,,
6/8/2018 15:06:43,Maize,All,High,Nitrogen,30kg,1.5 bags (63kg),2.25 bags (115kg),,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah","Apply half of the Nitrogen (Urea) at planting or 2 -3 weeks after planting (WAP) and the remainder, at about 5 - 6 WAP. Basal Nitrogen should be dibbled along a 5cm deep groove about 8cm away from the row of plants and covered with sod.",20-10-10 (150kg or 3 bags),,,,,,,
6/8/2018 15:18:30,Maize,All,Low,Phosphorus,,,,60kg,7 bags (333kg),,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah",Apply at planting or 2-3 weeks after planting.,,,,,,,,
6/8/2018 15:27:26,Maize,All,Low,Phosphorus,,,,50kg,6 bags (278kg),,,Southern Guinea Savannah,Phosphorus and Potassium are applied in furrows as single sources or before splitting (in the case of NPK). Apply at planting or 2-3 weeks after planting.,,,,,,,,
6/8/2018 15:29:08,Maize,All,Low,Phosphorus,,,,50kg,3 bags (139kg),,,Forest,Phosphorus and Potassium are applied in furrows as single sources or before splitting (in the case of NPK). Apply at planting or 2-3 weeks after planting.,,,,,,,,
6/8/2018 15:30:43,Maize,All,Medium,Phosphorus,,,,30kg,3 bags (167kg),,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah",Phosphorus and Potassium are applied in furrows as single sources or before splitting (in the case of NPK). Apply at planting or 2-3 weeks after planting.,,,,,,,,
6/8/2018 15:35:22,Maize,All,Low,Potassium,,,,,,60kg,2 bags (100kg),"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah",Phosphorus and Potassium are applied in furrows as single sources or before splitting (in the case of NPK). Apply at planting or 2-3 weeks after planting.,,,,,,,,
6/8/2018 15:43:13,Maize,All,Medium,Potassium,,,,,,30kg,1 bag (50kg),"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah",Phosphorus and Potassium are applied in furrows as single sources or before splitting (in the case of NPK). Apply at planting or 2-3 weeks after planting.,,,,,,,,
6/8/2018 15:45:39,Maize,All,Medium,Potassium,,,,,,30kg,1 bag (50kg),Forest,"Phosphorus and Potassium are applied in furrows as single sources or before splitting (in the case of NPK). Apply MOP or 4 bags of NPK (20-10-10), 1 bag of Urea and 1 bag SSP at planting or 2-3 weeks after planting.",,,,,,,,
6/8/2018 16:11:45,Sorghum,All,Low,Nitrogen,64kg,3 bags (142kg),5 bags (246kg),,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah","Apply Nitrogen fertilizer in two splits. The first half at 2 - 3 weeks after planting along 5cm grooves about 8cm away from the row of plants, and the other half at 6 - 8 weeks after planting. ",20-10-10 (320kg or 6.25 bags),,,,,,,
6/8/2018 16:26:26,Sorghum,All,Medium,Nitrogen,32kg,1.5 bags (75kg),2.5 bags (123kg),,,,,"Southern Guinea Savannah, Forest","Apply Nitrogen fertilizer in two splits. The first half at 2 - 3 weeks after planting along 5cm grooves about 8cm away from the row of plants, and the other half at 6 - 8 weeks after planting.",20-10-10 (160kg or 3.25 bags),,,,,,,
6/8/2018 16:31:46,Sorghum,All,High,Nitrogen,16kg,0.75 bag (35kg),1.25 bags (61kg),,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest","Apply Nitrogen fertilizer in two splits. The first half at 2 - 3 weeks after planting along 5cm grooves about 8cm away from the row of plants, and the other half at 6 - 8 weeks after planting.",20-10-10 (180kg or 1.75 bags),,,,,,,
6/8/2018 16:38:35,Sorghum,All,Low,Phosphorus,,,,32kg,4 bags (178kg),,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",Apply Phosphorus and Potassium fertilizers in old furrows before re-ridging.,,1.5 bags (71kg),,,,,,
6/8/2018 16:46:56,Sorghum,All,Medium,Phosphorus,,,,16kg,2 bags (89kg),,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",Apply Phosphorus and Potassium fertilizers in old furrows before re-ridging.,,1 bag (36kg),,,,,,
6/8/2018 16:47:57,Sorghum,All,High,Phosphorus,,,,,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",,,,,,,,,
6/8/2018 16:50:02,Sorghum,All,Low,Potassium,,,,,,30kg,1 bag (50kg),"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",Apply Phosphorus and Potassium fertilizers in old furrows before re-ridging.,,,,,,,,
6/8/2018 16:51:48,Sorghum,All,Medium,Potassium,,,,,,15kg,0.5 bag (25kg),"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",Apply Phosphorus and Potassium fertilizers in old furrows before re-ridging.,,,,,,,,
6/8/2018 16:52:35,Sorghum,All,High,Potassium,,,,,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",,,,,,,,,
6/8/2018 23:10:29,Millet,All,Low,Nitrogen,60kg,3 bags (131kg),5 bags (231kg),,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah","Drill all the Nitrogen at 3 weeks after planting in 5cm grooves at a distance of about 8cm from the row of plants and cover with soil. Where 20-10-10 is used, apply all the recommended rates and 3 weeks after planting (WAP).",20-10-10 (300kg or 6 bags),,,,,,,
6/8/2018 23:25:01,Millet,All,Medium,Nitrogen,30kg,1.5 bags (65kg),2.5 bags (115kg),,,,,"Southern Guinea Savannah, Forest","Drill all the Nitrogen at 3 weeks after planting in 5cm grooves at a distance of about 8cm from the row of plants and cover with soil. Where 20-10-10 is used, apply all the recommended rates and 3 weeks after planting (WAP).",20-10-10 (150kg or 3 bags),,,,,,,
6/9/2018 1:43:51,Millet,All,High,Nitrogen,15kg,0.75 bag (32kg),1 bag (57kg),,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest","Drill all the Nitrogen at 3 weeks after planting in 5cm grooves at a distance of about 8cm from the row of plants and cover with soil. Where 20-10-10 is used, apply all the recommended rates and 3 weeks after planting (WAP).",20-10-10 (75kg or 1.5 bags),,,,,,,
6/9/2018 1:52:47,Millet,All,Low,Phosphorus,,,,30kg,3 bags (167kg),,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah",Spread Phosphorus and Potassium in old furrow bottoms before making new ridges and planting.,,1 bag (67kg),,,,,,
6/9/2018 2:00:15,Millet,All,Medium,Phosphorus,,,,15kg,1.5 bags (83kg),,,"Southern Guinea Savannah, Forest",Apply Phosphorus and Potassium fertilizers in old furrows before re-ridging.,,0.5 bags (33kg),,,,,,
6/9/2018 2:02:09,Millet,All,Low,Potassium,,,,,,33kg,1 bag (50kg),"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah",Apply Phosphorus and Potassium fertilizers in old furrows before re-ridging.,,,,,,,,
6/9/2018 2:04:44,Millet,All,Medium,Potassium,,,,,,15kg,0.5 bags (25kg),"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",Apply Phosphorus and Potassium fertilizers in old furrows before re-ridging.,,,,,,,,
6/9/2018 2:11:02,Millet,All,High,Potassium,,,,,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",,,,,,,,,
6/9/2018 11:07:53,Rice,Rice,Low,Nitrogen,80kg,1.5 bags (75kg),,,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah","Apply half of the Nitrogen (Urea) 1 - 2 weeks after planting, broadcast the remainder of N afterwards at 6 weeks after planting. Additional application of Boost Xtra at the rate of 1l/ha for 4 times forliarly (directly on the leaves) starting from 4 weeks of planting/transplanting using a spray volume of 200l/ha water will enhance rice growth.",20-10-10 (4 bags) or 15-15-15 (5 bags),,Upland Rice,,,,,
6/9/2018 11:37:37,Rice,Rice,Low,Nitrogen,80kg,1.5 bags (75kg),,,,,,"Southern Guinea Savannah, Forest",Apply all Nitrogen (Urea) 1 - 2 weeks after planting. Additional application of Boost Xtra at the rate of 1l/ha for 4 times forliarly (directly on the leaves) starting from 4 weeks of planting/transplanting using a spray volume of 200l/ha water will enhance rice growth.,20-10-10 (4 bags) or 15-15-15 (5 bags),,Upland Rice,,,,,
6/9/2018 16:25:16,Rice,Rice,Medium,Nitrogen,60kg,1.5 bags (75kg),,,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah","Apply half of the Nitrogen (Urea) at 1 - 2 weeks after planting, broadcast the remainder of N afterwards at 6 weeks after planting. Additional application of Boost Xtra at the rate of 1l/ha for 4 times forliarly (directly on the leaves) starting from 4 weeks of planting/transplanting using a spray volume of 200l/ha water will enhance rice growth.",20-10-10 (3 bags) or 15-15-15 (4 bags),,Upland Rice,,,,,
6/9/2018 16:34:19,Rice,Rice,High,Nitrogen,40kg,1 bag (50kg),,,,,,"Southern Guinea Savannah, Forest",Apply all Nitrogen (Urea) about 1 - 2 weeks after planting. Additional application of Boost Xtra at the rate of 1l/ha for 4 times forliarly (directly on the leaves) starting from 4 weeks of planting/transplanting using a spray volume of 200l/ha water will enhance rice growth.,20-10-10 (2 bags) or 15-15-15 (3 bags),,Upland Rice,,,,,
6/11/2018 21:23:27,Rice,Rice,Low,Phosphorus,,,,30-40kg,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",Apply all the Phosphorus and Potassium at 1 - 2 weeks after planting.,,,Upland Rice,,,,,
6/11/2018 21:40:07,Rice,Rice,Medium,Phosphorus,,,,30kg,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",Apply all the Phosphorus and Potassium at 1 - 2 weeks after planting.,,,Upland Rice,,,,,
6/11/2018 21:41:45,Rice,Rice,Low,Potassium,,,,,,30-40kg,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",Apply all the Phosphorus and Potassium at 1 - 2 weeks after planting.,,,Upland Rice,,,,,
6/11/2018 21:44:56,Rice,Rice,Medium,Potassium,,,,,,30kg,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",Apply all the Phosphorus and Potassium at 1 - 2 weeks after planting.,,,Upland Rice,,,,,
6/11/2018 21:52:51,Rice,Rice,Low,Nitrogen,100kg,2 bags (100kg),,,,,,"Shallow swamp, Irrigated, Hydromophic and Inland valley swamp",Apply half of the Nitrogen at planting/transplanting and the remainder broadcast at 6 - 7 weeks after planting/transplanting or at panicle initiation stage.,20-10-10 (5 bags) or 15-15-15 (7 bags),,Lowland Rice,,,,,
6/11/2018 22:08:40,Rice,Rice,Low,Nitrogen,100kg,2 bags (100kg),,,,,,Deep water and Floating and Mangroove ecologies,Apply all Nitrogen (Urea) at planting.,20-10-10 (5 bags) or 15-15-15 (7 bags),,Lowland Rice,,,,,
6/11/2018 22:03:24,Rice,Rice,Medium,Nitrogen,80kg,1.5 bags (75kg),,,,,,"Shallow swamp, Irrigated, Hydromophic and Inland valley swamp",Apply half of the Nitrogen at planting/transplanting and the remainder broadcast at 6 - 7 weeks after planting/transplanting or at panicle initiation stage.,20-10-10 (4 bags) or 15-15-15 (5 bags),,Lowland Rice,,,,,
6/11/2018 22:19:26,Rice,Rice,High,Nitrogen,40kg,1 bag (50kg),,,,,,Deep water and Floating and Mangroove ecologies,Apply all Nitrogen (Urea) at planting.,20-10-10 (2 bags) or 15-15-15 (3 bags),,Lowland Rice,,,,,
6/11/2018 22:21:46,Rice,Rice,Low,Phosphorus,,,,40 - 50kg,,,,"Shallow swamp, Irrigated, Hydromophic and Inland valley swamp, Deep water and Floating and Mangroove ecologies.", Apply all Phosphorus at planting/transplanting.,,,Lowland Rice,,,,,
6/11/2018 22:28:44,Rice,Rice,Medium,Phosphorus,,,,40kg,,,,"Shallow swamp, Irrigated, Hydromophic and Inland valley swamp, Deep water and Floating and Mangroove ecologies.", Apply all Phosphorus at planting/transplanting.,,,Lowland Rice,,,,,
6/11/2018 22:32:52,Rice,Rice,Low,Potassium,,,,,,30 - 40kg,,"Shallow swamp, Irrigated, Hydromophic and Inland valley swamp, Deep water and Floating and Mangroove ecologies.", Apply all Potassium at planting/transplanting.,,,Lowland Rice,,,,,
6/11/2018 22:34:05,Rice,Rice,Medium,Potassium,,,,,,30kg,,"Shallow swamp, Irrigated, Hydromophic and Inland valley swamp, Deep water and Floating and Mangroove ecologies.", Apply all Potassium at planting/transplanting.,,,Lowland Rice,,,,,
6/11/2018 23:46:20,Wheat,All,Low,Nitrogen,100kg,4 bags (220kg),8 bags (385kg),,,,,Sahel Savannah, Sudan Savannah,"Nitrogen can be applied as a single dose prior to planting by broadcasting. For very sandy soils, the Nitrogen should be split - applied at planting and 4 weeks later. The second application may be top-dressed and immediately followed by light irrigation.",20-10-10 (400kg or 8 bags),,,,,,,
6/11/2018 23:49:03,Wheat,All,Medium,Nitrogen,100kg,2 bags (100kg),,,,,,Sahel Savannah, Sudan Savannah,"Nitrogen can be applied as a single dose prior to planting by broadcasting. For very sandy soils, the Nitrogen should be split - applied at planting and 4 weeks later. The second application may be top-dressed and immediately followed by light irrigation.",15-15-15 (300kg or 6 bags),,,,,,,
6/11/2018 23:52:46,Wheat,All,Medium,Phosphorus,,,,45kg,5 bags (250kg),,,Sahel Savannah, Sudan Savannah,Apply all the Phosphorus at seedbed preparation.,,,,,,,,
6/11/2018 23:54:17,Wheat,All,Medium,Potassium,,,,,,40kg,1 bag (50kg),Sahel Savannah, Sudan Savannah,All the Potassium should be applied at seedbed preparation.,,,,,,,,
6/11/2018 23:59:47,Barley,All,Medium,Nitrogen,60kg,3 bags (130kg),5 bags (230kg),,,,,"Sahel Savannah, Sudan Savannah","Apply about half of the Nitrogen at planting and the balance about 3 weeks later as a top-dressing, followed by light irrigation.",20-10-10 (300kg or 6 bags),,,,,,,
6/12/2018 0:02:14,Barley,All,Medium,Phosphorus,,,,40kg,4 bags (220kg),,,"Sahel Savannah, Sudan Savannah",Phosphorus should be applied at seed bed preparation.,,,,,,,,
6/12/2018 1:05:09,Sugarcane,All,Low,Nitrogen,200kg,9 bags (435kg),15 bags (769kg),,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah","Uniformly distribute the fertilizer over the entire field, mixing it with soil. and then the other half at 5 – 6 months after planting during earthing up. Cowdung organic fertilizer at 5t/ha can be incorporated into the soil a month before planting.",20-10-10 (500kg or 10 bags),,,,,,,
6/12/2018 14:06:02,Sugarcane,All,Low,Nitrogen,120kg,5 bags (261kg),9 bags (462kg),,,,,"Southern Guinea Savannah, Forest","Uniformly distribute the fertilizer over the entire field, mixing it with soil. and then the other half at 5 – 6 months after planting during earthing up. Cowdung organic fertilizer at 5t/ha can be incorporated into the soil a month before planting.",20-10-10 (300kg or 6 bags),,,,,,,
6/12/2018 15:28:09,Sugarcane,All,Medium,Nitrogen,100kg,4.5 bags (217kg),7.5 bags (384kg),,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest","Uniformly distribute the fertilizer over the entire field, mixing it with soil. and then the other half at 5 – 6 months after planting during earthing up. Cowdung organic fertilizer at 5t/ha can be incorporated into the soil a month before planting.",20-10-10 or (500kg or 10 bags),,,,,,,
6/12/2018 16:13:08,Sugarcane,All,High,Nitrogen,50kg,2.25 bags (109kg),4 bags (194kg),,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest","Uniformly distribute the fertilizer over the entire field, mixing it with soil. and then the other half at 5 – 6 months after planting during earthing up. Cowdung organic fertilizer at 5t/ha can be incorporated into the soil a month before planting.",20-10-10 (250kg or 5 bags),,,,,,,
6/12/2018 16:22:41,Sugarcane,All,Low,Phosphorus,,,,100kg,11 bags (556kg),,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",Do not apply Phosphorus and Potassium when the nutrient source is NPK 15-15- 15 Fertilizer.,,4.5 bags (222kg),,,,,,
6/12/2018 23:35:47,Sugarcane,All,Medium,Phosphorus,,,,50kg,6 bags (278kg),,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",Do not apply Phosphorus and Potassium when the nutrient source is NPK 15-15- 15 Fertilizer.,,2 bags (111kg),,,,,,
6/12/2018 23:44:50,Sugarcane,All,Low,Potassium,,,,,,100kg,3 bags (167kg),"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",Do not apply Phosphorus and Potassium when the nutrient source is NPK 15-15- 15 Fertilizer.,,,,,,,,
6/12/2018 23:45:46,Sugarcane,All,Medium,Potassium,,,,,,50kg,2 bags (83kg),"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",Do not apply Phosphorus and Potassium when the nutrient source is NPK 15-15- 15 Fertilizer.,,,,,,,,
6/13/2018 0:11:52,Cowpea,All,Low,Nitrogen,20kg,1 bag (44kg),1.5 bags (74kg),,,,,"Sahel Savannah, Sudan Savannah","When applied pre-plant, the fertilizers should be broadcast and incorporated into the seedbeds before ridging. If application is made at or within 1 -2 days after planting, the fertilizers should be dibbled along grooves made from the line of planting holes.",20-10-10 (100kg or 2 bags),,,,,,,
6/13/2018 1:08:24,Cowpea,All,Low,Nitrogen,10kg,0.5 bag (22kg),0.75 bag (37kg),,,,,"Northern Guinea Savannah, Southern Guinea Savannah, Forest","If planted following a fertilized cereal crop within the same year then further fertilization is not necessary as long as soil tests show that there is no need to apply this fertilizer. When applied pre-plant, the fertilizers should be broadcast and incorporated into the seedbeds before ridging. If application is made at or within 1 -2 days after planting, the fertilizers should be dibbled along grooves made from the line of planting hole.",20-10-10 (50kg or 1 bag),,,,,,,
6/13/2018 1:46:02,Cowpea,All,Medium,Nitrogen,10kg,0.5 bag (22kg),0.75 bag (37kg),,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest","If planted following a fertilized cereal crop within the same year then further fertilization is not necessary as long as soil tests show that there is no need to apply this fertilizer. When applied pre-plant, the fertilizers should be broadcast and incorporated into the seedbeds before ridging. If application is made at or within 1 -2 days after planting, the fertilizers should be dibbled along grooves made from the line of planting hole.",20-10-10 (50kg or 1 bag),,,,,,,
6/13/2018 1:46:54,Cowpea,All,High,Nitrogen,,,,,,,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest",,,,,,,,,
6/13/2018 1:51:46,Cowpea,All,Low,Phosphorus,,,,40kg,4.25 bags (222kg),,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest","If planted following a fertilized cereal crop within the same year then further fertilization is not necessary as long as soil tests show that there is no need to apply this fertilizer. When applied pre-plant, the fertilizers should be broadcast and incorporated into the seedbeds before ridging. If application is made at or within 1 -2 days after planting, the fertilizers should be dibbled along grooves made from the line of planting hole.",,2 bags (89kg),,,,,,
6/13/2018 1:56:40,Cowpea,All,Medium,Phosphorus,,,,20kg,2 bags (111kg),,,"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest","If planted following a fertilized cereal crop within the same year then further fertilization is not necessary as long as soil tests show that there is no need to apply this fertilizer. When applied pre-plant, the fertilizers should be broadcast and incorporated into the seedbeds before ridging. If application is made at or within 1 -2 days after planting, the fertilizers should be dibbled along grooves made from the line of planting hole.",,1 bag (44kg),,,,,,
6/13/2018 2:01:13,Cowpea,All,Low,Potassium,,,,,,20kg,1 bag (33kg),"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest","If planted following a fertilized cereal crop within the same year then further fertilization is not necessary as long as soil tests show that there is no need to apply this fertilizer. When applied pre-plant, the fertilizers should be broadcast and incorporated into the seedbeds before ridging. If application is made at or within 1 -2 days after planting, the fertilizers should be dibbled along grooves made from the line of planting hole.",,,,,,,,
6/13/2018 2:03:06,Cowpea,All,Medium,Potassium,,,,,,10kg,0.5 bag (16kg),"Sahel Savannah, Sudan Savannah, Northern Guinea Savannah, Southern Guinea Savannah, Forest","If planted following a fertilized cereal crop within the same year then further fertilization is not necessary as long as soil tests show that there is no need to apply this fertilizer. When applied pre-plant, the fertilizers should be broadcast and incorporated into the seedbeds before ridging. If application is made at or within 1 -2 days after planting, the fertilizers should be dibbled along grooves made from the line of planting hole.",,,,,,,,
